,Probability 0-100,Probability 100-200,Probability 200-300,Probability 300-400,Probability 400-500,Probability 500-600,Probability 600-700,Probability 700-800,Probability 800-900,Probability 900+,0-100,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900+,Title,Probability 17-93,Probability 93-116,Probability 116-143,Probability 143-177,Probability 177-217,Probability 217-272,Probability 272-340,Probability 340-457,Probability 457-766,Probability 766+,17-93,93-116,116-143,143-177,177-217,217-272,272-340,340-457,457-766,766+,Title,Probability ADIDAS,Probability AIR JORDAN,Probability BAPESTA,Probability NEW BALANCE,Probability NIKE,Probability YEEZY,ADIDAS,AIR JORDAN,BAPESTA,NEW BALANCE,NIKE,YEEZY,Title,Probability NB 2002R,Probability AIR MAX 1,Probability NIKE AIR MAX 90,Probability AJ 1,Probability AJ 11,Probability AJ 12,Probability AJ 2,Probability AJ 3,Probability AJ 4,Probability AJ 5,Probability AJ 6,Probability BAPESTA,Probability NIKE DUNK LOW,Probability NIKE DUNK HIGH,Probability NB550,Probability NB990,Probability ADIDAS STAN SMITH,Probability YZY 700,Probability YZY 350,Probability YZY RNR,Probability NIKE AF1,ADIDAS FORUM,ADIDAS SAMBA,YZY SLIDES,NB 2002R,AIR MAX 1,NIKE AIR MAX 90,AJ 1,AJ 11,AJ 12,AJ 2,AJ 3,AJ 4,AJ 5,AJ 6,BAPESTA,NIKE DUNK LOW,NIKE DUNK HIGH,NB550,NB990,ADIDAS STAN SMITH,YZY 700,YZY 350,YZY RNR,NIKE AF1,Title
0,0.028973566,0.27266148,0.35917518,0.16839129,0.034619257,0.03738509,0.02027745,0.003963678,0.00382586,0.070727155,0,0,0,1,0,0,0,0,0,0,"b""air jordan 6 retro x cp3.iii 'brazil pack'""",0.03272135,0.09115772,0.01804993,0.038680427,0.051660337,0.15394229,0.046896663,0.08256862,0.13537659,0.34894615,0,0,0,0,0,0,0,1,0,0,"b""air jordan 6 retro x cp3.iii 'brazil pack'""",7.0910483e-10,1.0,2.7241884e-15,1.3578382e-12,3.6005172e-09,7.545107e-11,0,1,0,0,0,0,"b""air jordan 6 retro x cp3.iii 'brazil pack'""",1.7133458e-05,0.010312804,2.3045193e-05,0.006974483,1.8919853e-07,9.474823e-10,9.216378e-05,0.16385296,1.0187514e-05,0.0116762025,0.72917163,0.060769834,0.008651705,0.007014437,0.00043006908,1.9263787e-05,1.092879e-05,9.894491e-07,8.685463e-05,2.4491808e-06,1.3169459e-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""air jordan 6 retro x cp3.iii 'brazil pack'"""
1,0.19672056,0.46689215,0.1285304,0.07614823,0.063923046,0.020770919,0.015240108,0.014257049,0.0048015853,0.012715988,0,0,1,0,0,0,0,0,0,0,"b""air force 1 lux max air 'pearl colllection'""",0.22529459,0.068085544,0.13598348,0.17548957,0.032922998,0.16165835,0.07988919,0.05425921,0.049889404,0.016527593,0,0,0,0,0,1,0,0,0,0,"b""air force 1 lux max air 'pearl colllection'""",1.8685208e-17,3.1440148e-16,9.46892e-22,4.381408e-18,1.0,1.9369513e-15,0,0,0,0,1,0,"b""air force 1 lux max air 'pearl colllection'""",2.2158253e-09,0.026896127,9.805649e-06,4.2891357e-10,2.1705966e-12,3.1880154e-07,5.986705e-11,2.5167961e-05,1.5155031e-05,1.8517256e-12,3.829334e-09,8.314852e-09,2.5701675e-14,1.585374e-07,3.162183e-09,1.2196364e-08,8.049481e-12,5.104421e-09,2.401934e-13,6.9605144e-06,0.9730449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"b""air force 1 lux max air 'pearl colllection'"""
2,0.1154403,0.25161368,0.24925297,0.0413372,0.11775111,0.09526029,0.01925399,0.013272848,0.04166793,0.055149738,0,0,0,1,0,0,0,0,0,0,"b""air max 90 ultra essential 'black'""",0.077356,0.06601278,0.035333615,0.10926288,0.09321263,0.19031335,0.07027493,0.091305695,0.157236,0.10969214,0,0,0,0,0,0,1,0,0,0,"b""air max 90 ultra essential 'black'""",7.971626e-16,8.4427985e-12,4.7617285e-22,3.9574435e-17,1.0,1.7669502e-15,0,0,0,0,1,0,"b""air max 90 ultra essential 'black'""",8.7006405e-18,9.769475e-10,1.0,2.7996335e-14,5.007875e-13,7.9981864e-16,4.1236375e-13,1.7204276e-13,2.7022356e-15,8.6844816e-16,1.9187304e-12,8.2021854e-22,1.95151e-13,2.3005512e-15,1.4389568e-13,2.0817776e-09,2.1432908e-14,7.449668e-20,1.8100177e-16,3.9312136e-17,1.02807855e-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""air max 90 ultra essential 'black'"""
3,0.064691156,0.12402581,0.26055306,0.056263763,0.090308465,0.26191375,0.023642715,0.033091396,0.03431296,0.051196992,0,1,0,0,0,0,0,0,0,0,"b""air force 1 low '07 lv8 emb 'world champ - lakers'""",0.08803997,0.06725718,0.037886657,0.08928686,0.06029356,0.21022713,0.062402885,0.12193392,0.19529457,0.06737733,0,1,0,0,0,0,0,0,0,0,"b""air force 1 low '07 lv8 emb 'world champ - lakers'""",1.3250346e-20,1.5009239e-16,2.1091297e-17,1.9265113e-17,1.0,3.478867e-17,0,0,0,0,1,0,"b""air force 1 low '07 lv8 emb 'world champ - lakers'""",3.481006e-16,2.2196675e-11,8.1235965e-16,2.4926582e-14,2.2796813e-14,2.1451366e-15,5.867093e-17,5.801812e-12,4.9562367e-15,1.1514305e-16,4.338471e-17,7.847244e-15,9.922844e-12,1.9178e-17,1.90425e-12,8.418134e-13,1.000916e-18,7.9664855e-18,3.0459788e-15,2.4174089e-18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"b""air force 1 low '07 lv8 emb 'world champ - lakers'"""
4,0.078612775,0.3987452,0.20248623,0.024021363,0.034071814,0.060136657,0.023092305,0.03526902,0.030771907,0.11279276,0,1,0,0,0,0,0,0,0,0,"b""air jordan 1 low 'triple black' 2022""",0.08471803,0.09252419,0.042110983,0.057197444,0.039243236,0.10790196,0.058688026,0.019989846,0.17195503,0.32567132,0,1,0,0,0,0,0,0,0,0,"b""air jordan 1 low 'triple black' 2022""",5.488411e-07,0.99999845,1.3137707e-14,1.0925818e-12,1.0282967e-06,3.7730163e-11,0,1,0,0,0,0,"b""air jordan 1 low 'triple black' 2022""",2.4438417e-11,1.1281091e-07,1.1951227e-08,0.9996206,6.5064576e-08,2.8761028e-12,3.9198355e-07,3.706543e-10,1.8276672e-11,1.5014752e-11,2.7864983e-10,2.3389869e-07,0.0001256152,1.7231403e-07,4.9810126e-08,7.1469054e-07,2.0451708e-10,2.3913266e-10,1.7757787e-10,9.9904765e-11,2.3777424e-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""air jordan 1 low 'triple black' 2022"""
5,0.080484755,0.38431492,0.20316292,0.10277788,0.1022836,0.056319773,0.0033425645,0.0035631848,0.009803462,0.053947,1,0,0,0,0,0,0,0,0,0,"b""air max 90 'archetype'""",0.021250952,0.1454201,0.21570645,0.17767517,0.046005916,0.104458734,0.13657422,0.07170622,0.021766407,0.059435837,1,0,0,0,0,0,0,0,0,0,"b""air max 90 'archetype'""",2.044274e-15,1.7846183e-08,6.0729166e-19,1.25940595e-11,1.0,1.4411974e-10,0,0,0,0,1,0,"b""air max 90 'archetype'""",1.66741e-15,4.3477788e-18,1.0,1.3814794e-14,1.1688789e-16,8.287258e-17,1.2885072e-14,1.2651469e-15,8.0496906e-19,1.4394214e-19,1.9075991e-17,1.1736497e-15,3.9092647e-18,2.9621173e-20,4.4882287e-14,5.7608974e-13,5.215778e-20,1.0692923e-21,4.454775e-15,1.7113244e-18,1.1338165e-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""air max 90 'archetype'"""
6,0.020554265,0.090425365,0.3634846,0.10893343,0.06761313,0.094966225,0.037510775,0.035648275,0.004898681,0.1759653,0,0,1,0,0,0,0,0,0,0,"b""air jordan 1 high cargo 'black'""",0.0329804,0.04620167,0.023523796,0.076533295,0.08524101,0.1630706,0.15538312,0.056665108,0.12678634,0.23361458,0,0,0,0,0,0,1,0,0,0,"b""air jordan 1 high cargo 'black'""",1.8300534e-08,1.0,1.4627236e-12,5.3641455e-14,2.7272327e-09,2.2163801e-10,0,1,0,0,0,0,"b""air jordan 1 high cargo 'black'""",1.409371e-17,2.5951385e-15,2.6571516e-13,1.0,4.8570037e-17,1.700683e-14,3.3837438e-17,2.7797543e-14,3.2794594e-15,1.3843554e-15,1.0858715e-13,1.0909351e-12,2.1490994e-17,5.712178e-15,1.0608434e-15,3.5730433e-15,5.4326092e-11,1.0984611e-16,8.2822193e-17,7.017494e-14,1.3825975e-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""air jordan 1 high cargo 'black'"""
7,0.06642775,0.08855576,0.13068996,0.32172215,0.2101749,0.048851427,0.023719214,0.022344558,0.018461308,0.06905285,0,0,0,1,0,0,0,0,0,0,b'dunk low 6.0',0.03226419,0.04396404,0.096719526,0.03312127,0.06314448,0.19331667,0.051745705,0.22161195,0.15779886,0.10631331,0,0,0,0,0,0,0,1,0,0,b'dunk low 6.0',1.8413891e-10,2.8828201e-06,7.0851506e-08,1.7406564e-13,0.999997,9.403094e-12,0,0,0,0,1,0,b'dunk low 6.0',2.47885e-11,5.439252e-09,1.7000336e-09,7.946364e-09,8.252458e-08,1.4173258e-11,2.5653353e-09,4.010313e-07,5.9207426e-09,1.8070079e-10,1.2027522e-09,2.396778e-07,0.9999225,1.34239e-07,1.2851118e-08,2.2453652e-05,1.5074112e-11,2.2793962e-14,2.0169509e-10,2.8518416e-12,5.3136922e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b'dunk low 6.0'
8,0.12934595,0.314646,0.26207435,0.069264,0.091564886,0.045055024,0.01431687,0.012809233,0.034895018,0.026028605,0,1,0,0,0,0,0,0,0,0,"b""2002r og 'dark grey'""",0.058373775,0.1236141,0.06600199,0.12659669,0.086619705,0.27477953,0.058846965,0.06799538,0.076987386,0.06018441,0,0,1,0,0,0,0,0,0,0,"b""2002r og 'dark grey'""",1.4596019e-12,1.6841074e-09,5.1130174e-19,1.0,2.597431e-11,9.074456e-13,0,0,0,1,0,0,"b""2002r og 'dark grey'""",1.0,4.320599e-09,5.460505e-11,3.386155e-12,1.05736364e-10,1.9002036e-15,2.49392e-09,2.8763846e-13,6.488471e-11,8.2934164e-13,9.525556e-15,2.040035e-13,6.316164e-11,6.223816e-18,4.0763112e-10,4.7424063e-08,2.1707813e-12,7.178565e-15,1.21233214e-11,4.0088333e-16,1.0253389e-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""2002r og 'dark grey'"""
9,0.032077514,0.46821672,0.1195865,0.030976353,0.101358004,0.078655556,0.009893259,0.022694597,0.014667752,0.12187377,0,1,0,0,0,0,0,0,0,0,"b""dunk low retro 'samba' 2020""",0.04477164,0.05545128,0.07765987,0.24764365,0.040211502,0.11756556,0.024594845,0.043559182,0.07834628,0.2701962,0,0,0,1,0,0,0,0,0,0,"b""dunk low retro 'samba' 2020""",6.3752176e-12,5.621303e-13,6.9715724e-16,8.308661e-16,1.0,1.3995706e-15,0,0,0,0,1,0,"b""dunk low retro 'samba' 2020""",9.122808e-15,2.1471889e-11,1.5306852e-12,1.050777e-09,9.5258904e-14,3.8291072e-16,5.1054677e-14,3.4050394e-13,7.8184716e-15,2.2034685e-15,2.3955627e-14,5.1921813e-13,0.99991214,2.0761998e-11,4.643337e-11,2.1354346e-08,2.2688654e-19,8.274017e-16,6.87048e-16,9.374729e-15,4.788237e-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""dunk low retro 'samba' 2020"""
10,0.11570031,0.2514465,0.14674595,0.057177234,0.07348607,0.106758565,0.02963109,0.062299818,0.007057468,0.14969704,0,0,0,0,0,1,0,0,0,0,"b""dunk high premium 'dqm'""",0.10244655,0.097994044,0.063409515,0.14521997,0.046910424,0.11806693,0.0868969,0.0733041,0.09840916,0.16734251,0,0,0,0,0,0,0,0,1,0,"b""dunk high premium 'dqm'""",8.953687e-11,5.581432e-10,2.579097e-13,4.5560608e-14,1.0,1.364962e-10,0,0,0,0,1,0,"b""dunk high premium 'dqm'""",2.1263468e-12,1.3000238e-10,3.9636454e-11,1.243211e-06,1.945152e-12,2.8866418e-10,3.7100176e-10,2.3370201e-09,2.1835225e-10,9.447378e-13,2.0437428e-10,4.721204e-10,1.8414183e-11,0.9999982,1.8168012e-11,1.5777217e-12,7.9586886e-11,4.7043753e-12,6.3343085e-12,1.7047269e-09,2.5090952e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"b""dunk high premium 'dqm'"""
11,0.031075846,0.21259624,0.16433667,0.14967594,0.03390189,0.015897248,0.037035916,0.01442837,0.061839323,0.27921256,0,0,0,0,0,0,0,0,0,1,"b""air jordan 5 retro dmp 'raging bull pack'""",0.029906057,0.047181208,0.03394384,0.035434067,0.037615404,0.11626168,0.069948144,0.041293234,0.074994005,0.51342237,0,0,0,0,0,0,0,0,0,1,"b""air jordan 5 retro dmp 'raging bull pack'""",0.00036271196,0.512541,1.7812397e-06,4.564903e-10,0.48589844,0.0011960157,0,1,0,0,0,0,"b""air jordan 5 retro dmp 'raging bull pack'""",0.00013742261,0.00037806385,0.077721655,3.8476734e-05,1.1554155e-08,1.1725992e-05,9.1507206e-07,0.000108273525,5.9451764e-07,0.27891347,0.00013619747,0.0159368,0.059612516,1.4480374e-05,5.1836916e-05,5.8879497e-05,3.5298253e-06,1.383677e-06,8.083178e-07,4.9003358e-08,8.879028e-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"b""air jordan 5 retro dmp 'raging bull pack'"""
12,0.068189576,0.18282157,0.17250183,0.03433399,0.13943546,0.08982248,0.17751655,0.017896412,0.020835297,0.09664687,0,1,0,0,0,0,0,0,0,0,b'dunk low 6.0',0.050897684,0.024792079,0.15415645,0.07142886,0.045431733,0.06134599,0.034515273,0.12318938,0.29517752,0.13906506,0,0,1,0,0,0,0,0,0,0,b'dunk low 6.0',1.3029728e-24,1.9918558e-19,4.3899607e-19,1.7940416e-18,1.0,5.3184853e-14,0,0,0,0,1,0,b'dunk low 6.0',4.2633478e-17,2.7180157e-19,3.5236743e-17,2.2289283e-16,9.485305e-16,1.2180391e-19,1.2322699e-17,1.3951959e-15,4.249465e-16,2.3900095e-18,9.192538e-16,4.649613e-16,1.0,2.8352051e-14,4.9053187e-16,9.310778e-17,1.541725e-19,2.612696e-19,4.691324e-19,1.3801927e-19,9.667411e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,b'dunk low 6.0'
13,0.08145035,0.18808737,0.23640111,0.23372436,0.073278524,0.07993917,0.014068639,0.0058468115,0.012445789,0.074757904,0,1,0,0,0,0,0,0,0,0,"b""air jordan 5 retro low 'chinese new year' 2021""",0.06902086,0.063756794,0.09851988,0.12761611,0.028360864,0.20046529,0.14000645,0.13298276,0.07811325,0.061157692,0,0,0,1,0,0,0,0,0,0,"b""air jordan 5 retro low 'chinese new year' 2021""",5.6849244e-11,0.99996126,6.1324873e-12,7.081135e-14,3.8722123e-05,2.4009815e-12,0,1,0,0,0,0,"b""air jordan 5 retro low 'chinese new year' 2021""",0.0003239303,0.0010949775,0.7607912,0.010203161,4.109409e-05,5.769305e-07,4.7494986e-08,0.00050853286,1.4763361e-05,7.952262e-05,1.0031986e-06,2.3004482e-08,0.011319156,6.5308856e-11,1.3281159e-08,2.5089184e-06,6.9008075e-07,2.1373321e-08,1.2102042e-07,9.925916e-06,0.21505933,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"b""air jordan 5 retro low 'chinese new year' 2021"""
14,0.38232404,0.20263274,0.16463509,0.025375936,0.03788329,0.030439131,0.009794513,0.03450911,0.019899657,0.09250651,1,0,0,0,0,0,0,0,0,0,"b""forum low 'chinese porcelain'""",0.16376421,0.083486676,0.038902227,0.032581,0.038505092,0.06182479,0.050876305,0.037163056,0.1421439,0.3507528,1,0,0,0,0,0,0,0,0,0,"b""forum low 'chinese porcelain'""",0.9999709,4.9382486e-08,7.268497e-14,5.690634e-11,2.91314e-05,1.0563408e-09,1,0,0,0,0,0,"b""forum low 'chinese porcelain'""",2.1542752e-11,1.1868322e-10,1.3798538e-08,3.1937022e-09,4.4123004e-11,3.7168567e-13,1.4196871e-07,1.9852527e-10,6.155173e-09,8.2172645e-12,2.7999278e-10,3.2561667e-10,7.336255e-10,2.3880434e-14,2.1818861e-08,2.8866878e-10,1.3012325e-07,1.5801452e-12,1.2847997e-09,7.832863e-12,2.7233434e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"b""forum low 'chinese porcelain'"""
